Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Germany, Velo , Medium ,588.00,120.00,20.00,11760.00,823.20,10936.80,5880.00,5056.80,41286.00,12.00, December ,2013.00
Channel Partners,Canada, VTT , Medium ,3244.50,250.00,12.00,38934.00,2725.38,36208.62,9733.50,26475.12,41640.00,1.00, January ,2014.00
Small Business,France, VTT , Medium ,959.00,250.00,300.00," $2,87,700.00 ",20139.00," $2,67,561.00 "," $2,39,750.00 ",27811.00,41641.00,2.00, February ,2014.00
Small Business,Mexico, VTT , Medium ,2747.00,250.00,300.00," $8,24,100.00 ",57687.00," $7,66,413.00 "," $6,86,750.00 ",79663.00,41641.00,2.00, February ,2014.00
Enterprise,Canada, Amarilla , Medium ,1645.00,260.00,125.00," $2,05,625.00 ",14393.75," $1,91,231.25 "," $1,97,400.00 ",-6168.75,41644.00,5.00, May ,2014.00
Government,France, Amarilla , Medium ,2876.00,260.00,350.00," $10,06,600.00 ",70462.00," $9,36,138.00 "," $7,47,760.00 "," $1,88,378.00 ",41648.00,9.00, September ,2014.00
Enterprise,Germany, Amarilla , Medium ,994.00,260.00,125.00," $1,24,250.00 ",8697.50," $1,15,552.50 "," $1,19,280.00 ",-3727.50,41283.00,9.00, September ,2013.00
Government,Canada, Amarilla , Medium ,1118.00,260.00,20.00,22360.00,1565.20,20794.80,11180.00,9614.80,41650.00,11.00, November ,2014.00
Small Business,United States of America, Amarilla , Medium ,1372.00,260.00,300.00," $4,11,600.00 ",28812.00," $3,82,788.00 "," $3,43,000.00 ",39788.00,41651.00,12.00, December ,2014.00
Government,Canada, Montana , Medium ,488.00,5.00,7.00,3416.00,273.28,3142.72,2440.00,702.72,41641.00,2.00, February ,2014.00
Government,United States of America, Montana , Medium ,1282.00,5.00,20.00,25640.00,2051.20,23588.80,12820.00,10768.80,41645.00,6.00, June ,2014.00
Government,Canada, Paseo , Medium ,257.00,10.00,7.00,1799.00,143.92,1655.08,1285.00,370.08,41644.00,5.00, May ,2014.00
Government,United States of America, Amarilla , Medium ,1282.00,260.00,20.00,25640.00,2051.20,23588.80,12820.00,10768.80,41645.00,6.00, June ,2014.00
Enterprise,Mexico, Carretera , Medium ,1540.00,3.00,125.00," $1,92,500.00 ",15400.00," $1,77,100.00 "," $1,84,800.00 ",-7700.00,41647.00,8.00, August ,2014.00
Midmarket,France, Carretera , Medium ,490.00,3.00,15.00,7350.00,588.00,6762.00,4900.00,1862.00,41650.00,11.00, November ,2014.00
Government,Mexico, Carretera , Medium ,1362.00,3.00,350.00," $4,76,700.00 ",38136.00," $4,38,564.00 "," $3,54,120.00 ",84444.00,41651.00,12.00, December ,2014.00
Midmarket,France, Montana , Medium ,2501.00,5.00,15.00,37515.00,3001.20,34513.80,25010.00,9503.80,41642.00,3.00, March ,2014.00
Government,Canada, Montana , Medium ,708.00,5.00,20.00,14160.00,1132.80,13027.20,7080.00,5947.20,41645.00,6.00, June ,2014.00
Government,Germany, Montana , Medium ,645.00,5.00,20.00,12900.00,1032.00,11868.00,6450.00,5418.00,41646.00,7.00, July ,2014.00
Small Business,France, Montana , Medium ,1562.00,5.00,300.00," $4,68,600.00 ",37488.00," $4,31,112.00 "," $3,90,500.00 ",40612.00,41647.00,8.00, August ,2014.00
Small Business,Canada, Montana , Medium ,1283.00,5.00,300.00," $3,84,900.00 ",30792.00," $3,54,108.00 "," $3,20,750.00 ",33358.00,41283.00,9.00, September ,2013.00
Midmarket,Germany, Montana , Medium ,711.00,5.00,15.00,10665.00,853.20,9811.80,7110.00,2701.80,41651.00,12.00, December ,2014.00
Enterprise,Mexico, Paseo , Medium ,1114.00,10.00,125.00," $1,39,250.00 ",11140.00," $1,28,110.00 "," $1,33,680.00 ",-5570.00,41642.00,3.00, March ,2014.00
Government,Germany, Paseo , Medium ,1259.00,10.00,7.00,8813.00,705.04,8107.96,6295.00,1812.96,41643.00,4.00, April ,2014.00
Government,Germany, Paseo , Medium ,1095.00,10.00,7.00,7665.00,613.20,7051.80,5475.00,1576.80,41644.00,5.00, May ,2014.00
Government,Germany, Paseo , Medium ,1366.00,10.00,20.00,27320.00,2185.60,25134.40,13660.00,11474.40,41645.00,6.00, June ,2014.00
Small Business,Mexico, Paseo , Medium ,2460.00,10.00,300.00," $7,38,000.00 ",59040.00," $6,78,960.00 "," $6,15,000.00 ",63960.00,41645.00,6.00, June ,2014.00
Government,United States of America, Paseo , Medium ,678.00,10.00,7.00,4746.00,379.68,4366.32,3390.00,976.32,41647.00,8.00, August ,2014.00
Government,Germany, Paseo , Medium ,1598.00,10.00,7.00,11186.00,894.88,10291.12,7990.00,2301.12,41647.00,8.00, August ,2014.00
Government,Germany, Paseo , Medium ,2409.00,10.00,7.00,16863.00,1349.04,15513.96,12045.00,3468.96,41283.00,9.00, September ,2013.00
Government,Germany, Paseo , Medium ,1934.00,10.00,20.00,38680.00,3094.40,35585.60,19340.00,16245.60,41648.00,9.00, September ,2014.00
Government,Mexico, Paseo , Medium ,2993.00,10.00,20.00,59860.00,4788.80,55071.20,29930.00,25141.20,41648.00,9.00, September ,2014.00
Government,Germany, Paseo , Medium ,2146.00,10.00,350.00," $7,51,100.00 ",60088.00," $6,91,012.00 "," $5,57,960.00 "," $1,33,052.00 ",41285.00,11.00, November ,2013.00
Government,Mexico, Paseo , Medium ,1946.00,10.00,7.00,13622.00,1089.76,12532.24,9730.00,2802.24,41286.00,12.00, December ,2013.00
Government,Mexico, Paseo , Medium ,1362.00,10.00,350.00," $4,76,700.00 ",38136.00," $4,38,564.00 "," $3,54,120.00 ",84444.00,41651.00,12.00, December ,2014.00
Channel Partners,Canada, Velo , Medium ,598.00,120.00,12.00,7176.00,574.08,6601.92,1794.00,4807.92,41642.00,3.00, March ,2014.00
Government,United States of America, Velo , Medium ,2907.00,120.00,7.00,20349.00,1627.92,18721.08,14535.00,4186.08,41645.00,6.00, June ,2014.00
Government,Germany, Velo , Medium ,2338.00,120.00,7.00,16366.00,1309.28,15056.72,11690.00,3366.72,41645.00,6.00, June ,2014.00
Small Business,France, Velo , Medium ,386.00,120.00,300.00," $1,15,800.00 ",9264.00," $1,06,536.00 ",96500.00,10036.00,41285.00,11.00, November ,2013.00
Small Business,Mexico, Velo , Medium ,635.00,120.00,300.00," $1,90,500.00 ",15240.00," $1,75,260.00 "," $1,58,750.00 ",16510.00,41651.00,12.00, December ,2014.00
Government,France, VTT , Medium ,574.50,250.00,350.00," $2,01,075.00 ",16086.00," $1,84,989.00 "," $1,49,370.00 ",35619.00,41643.00,4.00, April ,2014.00
Government,Germany, VTT , Medium ,2338.00,250.00,7.00,16366.00,1309.28,15056.72,11690.00,3366.72,41645.00,6.00, June ,2014.00
Government,France, VTT , Medium ,381.00,250.00,350.00," $1,33,350.00 ",10668.00," $1,22,682.00 ",99060.00,23622.00,41647.00,8.00, August ,2014.00
Government,Germany, VTT , Medium ,422.00,250.00,350.00," $1,47,700.00 ",11816.00," $1,35,884.00 "," $1,09,720.00 ",26164.00,41647.00,8.00, August ,2014.00
Small Business,Canada, VTT , Medium ,2134.00,250.00,300.00," $6,40,200.00 ",51216.00," $5,88,984.00 "," $5,33,500.00 ",55484.00,41648.00,9.00, September ,2014.00
Small Business,United States of America, VTT , Medium ,808.00,250.00,300.00," $2,42,400.00 ",19392.00," $2,23,008.00 "," $2,02,000.00 ",21008.00,41286.00,12.00, December ,2013.00
Government,Canada, Amarilla , Medium ,708.00,260.00,20.00,14160.00,1132.80,13027.20,7080.00,5947.20,41645.00,6.00, June ,2014.00
Government,United States of America, Amarilla , Medium ,2907.00,260.00,7.00,20349.00,1627.92,18721.08,14535.00,4186.08,41645.00,6.00, June ,2014.00
Government,Germany, Amarilla , Medium ,1366.00,260.00,20.00,27320.00,2185.60,25134.40,13660.00,11474.40,41645.00,6.00, June ,2014.00
Small Business,Mexico, Amarilla , Medium ,2460.00,260.00,300.00," $7,38,000.00 ",59040.00," $6,78,960.00 "," $6,15,000.00 ",63960.00,41645.00,6.00, June ,2014.00
Government,Germany, Amarilla , Medium ,1520.00,260.00,20.00,30400.00,2432.00,27968.00,15200.00,12768.00,41650.00,11.00, November ,2014.00
Midmarket,Germany, Amarilla , Medium ,711.00,260.00,15.00,10665.00,853.20,9811.80,7110.00,2701.80,41651.00,12.00, December ,2014.00
Channel Partners,Mexico, Amarilla , Medium ,1375.00,260.00,12.00,16500.00,1320.00,15180.00,4125.00,11055.00,41286.00,12.00, December ,2013.00
Small Business,Mexico, Amarilla , Medium ,635.00,260.00,300.00," $1,90,500.00 ",15240.00," $1,75,260.00 "," $1,58,750.00 ",16510.00,41651.00,12.00, December ,2014.00
Government,United States of America, VTT , Medium ,436.50,250.00,20.00,8730.00,698.40,8031.60,4365.00,3666.60,41646.00,7.00, July ,2014.00
Small Business,Canada, Carretera , Medium ,1094.00,3.00,300.00," $3,28,200.00 ",29538.00," $2,98,662.00 "," $2,73,500.00 ",25162.00,41645.00,6.00, June ,2014.00
Channel Partners,Mexico, Carretera , Medium ,367.00,3.00,12.00,4404.00,396.36,4007.64,1101.00,2906.64,41284.00,10.00, October ,2013.00
Small Business,Canada, Montana , Medium ,3802.50,5.00,300.00," $11,40,750.00 "," $1,02,667.50 "," $10,38,082.50 "," $9,50,625.00 ",87457.50,41643.00,4.00, April ,2014.00
Government,France, Montana , Medium ,1666.00,5.00,350.00," $5,83,100.00 ",52479.00," $5,30,621.00 "," $4,33,160.00 ",97461.00,41644.00,5.00, May ,2014.00
Small Business,France, Montana , Medium ,322.00,5.00,300.00,96600.00,8694.00,87906.00,80500.00,7406.00,41283.00,9.00, September ,2013.00
Channel Partners,Canada, Montana , Medium ,2321.00,5.00,12.00,27852.00,2506.68,25345.32,6963.00,18382.32,41650.00,11.00, November ,2014.00
Enterprise,France, Montana , Medium ,1857.00,5.00,125.00," $2,32,125.00 ",20891.25," $2,11,233.75 "," $2,22,840.00 ",-11606.25,41285.00,11.00, November ,2013.00
Government,Canada, Montana , Medium ,1611.00,5.00,7.00,11277.00,1014.93,10262.07,8055.00,2207.07,41286.00,12.00, December ,2013.00
Enterprise,United States of America, Montana , Medium ,2797.00,5.00,125.00," $3,49,625.00 ",31466.25," $3,18,158.75 "," $3,35,640.00 ",-17481.25,41651.00,12.00, December ,2014.00
Small Business,Germany, Montana , Medium ,334.00,5.00,300.00," $1,00,200.00 ",9018.00,91182.00,83500.00,7682.00,41286.00,12.00, December ,2013.00
Small Business,Mexico, Paseo , Medium ,2565.00,10.00,300.00," $7,69,500.00 ",69255.00," $7,00,245.00 "," $6,41,250.00 ",58995.00,41640.00,1.00, January ,2014.00
Government,Mexico, Paseo , Medium ,2417.00,10.00,350.00," $8,45,950.00 ",76135.50," $7,69,814.50 "," $6,28,420.00 "," $1,41,394.50 ",41640.00,1.00, January ,2014.00
Midmarket,United States of America, Paseo , Medium ,3675.00,10.00,15.00,55125.00,4961.25,50163.75,36750.00,13413.75,41643.00,4.00, April ,2014.00
Small Business,Canada, Paseo , Medium ,1094.00,10.00,300.00," $3,28,200.00 ",29538.00," $2,98,662.00 "," $2,73,500.00 ",25162.00,41645.00,6.00, June ,2014.00
Midmarket,France, Paseo , Medium ,1227.00,10.00,15.00,18405.00,1656.45,16748.55,12270.00,4478.55,41649.00,10.00, October ,2014.00
Channel Partners,Mexico, Paseo , Medium ,367.00,10.00,12.00,4404.00,396.36,4007.64,1101.00,2906.64,41284.00,10.00, October ,2013.00
Small Business,France, Paseo , Medium ,1324.00,10.00,300.00," $3,97,200.00 ",35748.00," $3,61,452.00 "," $3,31,000.00 ",30452.00,41650.00,11.00, November ,2014.00
Channel Partners,Germany, Paseo , Medium ,1775.00,10.00,12.00,21300.00,1917.00,19383.00,5325.00,14058.00,41285.00,11.00, November ,2013.00
Enterprise,United States of America, Paseo , Medium ,2797.00,10.00,125.00," $3,49,625.00 ",31466.25," $3,18,158.75 "," $3,35,640.00 ",-17481.25,41651.00,12.00, December ,2014.00
Midmarket,Mexico, Velo , Medium ,245.00,120.00,15.00,3675.00,330.75,3344.25,2450.00,894.25,41644.00,5.00, May ,2014.00
Small Business,Canada, Velo , Medium ,3793.50,120.00,300.00," $11,38,050.00 "," $1,02,424.50 "," $10,35,625.50 "," $9,48,375.00 ",87250.50,41646.00,7.00, July ,2014.00
Government,Germany, Velo , Medium ,1307.00,120.00,350.00," $4,57,450.00 ",41170.50," $4,16,279.50 "," $3,39,820.00 ",76459.50,41646.00,7.00, July ,2014.00
Enterprise,Canada, Velo , Medium ,567.00,120.00,125.00,70875.00,6378.75,64496.25,68040.00,-3543.75,41648.00,9.00, September ,2014.00
Enterprise,Mexico, Velo , Medium ,2110.00,120.00,125.00," $2,63,750.00 ",23737.50," $2,40,012.50 "," $2,53,200.00 ",-13187.50,41648.00,9.00, September ,2014.00
Government,Canada, Velo , Medium ,1269.00,120.00,350.00," $4,44,150.00 ",39973.50," $4,04,176.50 "," $3,29,940.00 ",74236.50,41649.00,10.00, October ,2014.00
Channel Partners,United States of America, VTT , Medium ,1956.00,250.00,12.00,23472.00,2112.48,21359.52,5868.00,15491.52,41640.00,1.00, January ,2014.00
Small Business,Germany, VTT , Medium ,2659.00,250.00,300.00," $7,97,700.00 ",71793.00," $7,25,907.00 "," $6,64,750.00 ",61157.00,41641.00,2.00, February ,2014.00
Government,United States of America, VTT , Medium ,1351.50,250.00,350.00," $4,73,025.00 ",42572.25," $4,30,452.75 "," $3,51,390.00 ",79062.75,41643.00,4.00, April ,2014.00
Channel Partners,Germany, VTT , Medium ,880.00,250.00,12.00,10560.00,950.40,9609.60,2640.00,6969.60,41644.00,5.00, May ,2014.00
Small Business,United States of America, VTT , Medium ,1867.00,250.00,300.00," $5,60,100.00 ",50409.00," $5,09,691.00 "," $4,66,750.00 ",42941.00,41648.00,9.00, September ,2014.00
Channel Partners,France, VTT , Medium ,2234.00,250.00,12.00,26808.00,2412.72,24395.28,6702.00,17693.28,41283.00,9.00, September ,2013.00
Midmarket,France, VTT , Medium ,1227.00,250.00,15.00,18405.00,1656.45,16748.55,12270.00,4478.55,41649.00,10.00, October ,2014.00
Enterprise,Mexico, VTT , Medium ,877.00,250.00,125.00," $1,09,625.00 ",9866.25,99758.75," $1,05,240.00 ",-5481.25,41650.00,11.00, November ,2014.00
Government,United States of America, Amarilla , Medium ,2071.00,260.00,350.00," $7,24,850.00 ",65236.50," $6,59,613.50 "," $5,38,460.00 "," $1,21,153.50 ",41648.00,9.00, September ,2014.00
Government,Canada, Amarilla , Medium ,1269.00,260.00,350.00," $4,44,150.00 ",39973.50," $4,04,176.50 "," $3,29,940.00 ",74236.50,41649.00,10.00, October ,2014.00
Midmarket,Germany, Amarilla , Medium ,970.00,260.00,15.00,14550.00,1309.50,13240.50,9700.00,3540.50,41285.00,11.00, November ,2013.00
Government,Mexico, Amarilla , Medium ,1694.00,260.00,20.00,33880.00,3049.20,30830.80,16940.00,13890.80,41650.00,11.00, November ,2014.00
Government,Germany, Carretera , Medium ,663.00,3.00,20.00,13260.00,1193.40,12066.60,6630.00,5436.60,41644.00,5.00, May ,2014.00
Government,Canada, Carretera , Medium ,819.00,3.00,7.00,5733.00,515.97,5217.03,4095.00,1122.03,41646.00,7.00, July ,2014.00
Channel Partners,Germany, Carretera , Medium ,1580.00,3.00,12.00,18960.00,1706.40,17253.60,4740.00,12513.60,41648.00,9.00, September ,2014.00
Government,Mexico, Carretera , Medium ,521.00,3.00,7.00,3647.00,328.23,3318.77,2605.00,713.77,41651.00,12.00, December ,2014.00
Government,United States of America, Paseo , Medium ,973.00,10.00,20.00,19460.00,1751.40,17708.60,9730.00,7978.60,41642.00,3.00, March ,2014.00
Government,Mexico, Paseo , Medium ,1038.00,10.00,20.00,20760.00,1868.40,18891.60,10380.00,8511.60,41645.00,6.00, June ,2014.00
Government,Germany, Paseo , Medium ,360.00,10.00,7.00,2520.00,226.80,2293.20,1800.00,493.20,41649.00,10.00, October ,2014.00
Channel Partners,France, Velo , Medium ,1967.00,120.00,12.00,23604.00,2124.36,21479.64,5901.00,15578.64,41642.00,3.00, March ,2014.00
Midmarket,Mexico, Velo , Medium ,2628.00,120.00,15.00,39420.00,3547.80,35872.20,26280.00,9592.20,41643.00,4.00, April ,2014.00
Government,Germany, VTT , Medium ,360.00,250.00,7.00,2520.00,226.80,2293.20,1800.00,493.20,41649.00,10.00, October ,2014.00
Government,France, VTT , Medium ,2682.00,250.00,20.00,53640.00,4827.60,48812.40,26820.00,21992.40,41285.00,11.00, November ,2013.00
Government,Mexico, VTT , Medium ,521.00,250.00,7.00,3647.00,328.23,3318.77,2605.00,713.77,41651.00,12.00, December ,2014.00
Government,Mexico, Amarilla , Medium ,1038.00,260.00,20.00,20760.00,1868.40,18891.60,10380.00,8511.60,41645.00,6.00, June ,2014.00
Midmarket,Canada, Amarilla , Medium ,1630.50,260.00,15.00,24457.50,2201.18,22256.33,16305.00,5951.33,41646.00,7.00, July ,2014.00
Channel Partners,France, Amarilla , Medium ,306.00,260.00,12.00,3672.00,330.48,3341.52,918.00,2423.52,41286.00,12.00, December ,2013.00
Channel Partners,United States of America, Carretera , High ,386.00,3.00,12.00,4632.00,463.20,4168.80,1158.00,3010.80,41284.00,10.00, October ,2013.00
Government,United States of America, Montana , High ,2328.00,5.00,7.00,16296.00,1629.60,14666.40,11640.00,3026.40,41648.00,9.00, September ,2014.00
Channel Partners,United States of America, Paseo , High ,386.00,10.00,12.00,4632.00,463.20,4168.80,1158.00,3010.80,41284.00,10.00, October ,2013.00
Enterprise,United States of America, Carretera , High ,3445.50,3.00,125.00," $4,30,687.50 ",43068.75," $3,87,618.75 "," $4,13,460.00 ",-25841.25,41643.00,4.00, April ,2014.00
Enterprise,France, Carretera , High ,1482.00,3.00,125.00," $1,85,250.00 ",18525.00," $1,66,725.00 "," $1,77,840.00 ",-11115.00,41286.00,12.00, December ,2013.00
Government,United States of America, Montana , High ,2313.00,5.00,350.00," $8,09,550.00 ",80955.00," $7,28,595.00 "," $6,01,380.00 "," $1,27,215.00 ",41644.00,5.00, May ,2014.00
Enterprise,United States of America, Montana , High ,1804.00,5.00,125.00," $2,25,500.00 ",22550.00," $2,02,950.00 "," $2,16,480.00 ",-13530.00,41285.00,11.00, November ,2013.00
Midmarket,France, Montana , High ,2072.00,5.00,15.00,31080.00,3108.00,27972.00,20720.00,7252.00,41651.00,12.00, December ,2014.00
Government,France, Paseo , High ,1954.00,10.00,20.00,39080.00,3908.00,35172.00,19540.00,15632.00,41642.00,3.00, March ,2014.00
Small Business,Mexico, Paseo , High ,591.00,10.00,300.00," $1,77,300.00 ",17730.00," $1,59,570.00 "," $1,47,750.00 ",11820.00,41644.00,5.00, May ,2014.00
Midmarket,France, Paseo , High ,2167.00,10.00,15.00,32505.00,3250.50,29254.50,21670.00,7584.50,41284.00,10.00, October ,2013.00
Government,Germany, Paseo , High ,241.00,10.00,20.00,4820.00,482.00,4338.00,2410.00,1928.00,41649.00,10.00, October ,2014.00
Midmarket,Germany, Velo , High ,681.00,120.00,15.00,10215.00,1021.50,9193.50,6810.00,2383.50,41640.00,1.00, January ,2014.00
Midmarket,Germany, Velo , High ,510.00,120.00,15.00,7650.00,765.00,6885.00,5100.00,1785.00,41643.00,4.00, April ,2014.00
Midmarket,United States of America, Velo , High ,790.00,120.00,15.00,11850.00,1185.00,10665.00,7900.00,2765.00,41644.00,5.00, May ,2014.00
Government,France, Velo , High ,639.00,120.00,350.00," $2,23,650.00 ",22365.00," $2,01,285.00 "," $1,66,140.00 ",35145.00,41646.00,7.00, July ,2014.00
Enterprise,United States of America, Velo , High ,1596.00,120.00,125.00," $1,99,500.00 ",19950.00," $1,79,550.00 "," $1,91,520.00 ",-11970.00,41648.00,9.00, September ,2014.00
Small Business,United States of America, Velo , High ,2294.00,120.00,300.00," $6,88,200.00 ",68820.00," $6,19,380.00 "," $5,73,500.00 ",45880.00,41284.00,10.00, October ,2013.00
Government,Germany, Velo , High ,241.00,120.00,20.00,4820.00,482.00,4338.00,2410.00,1928.00,41649.00,10.00, October ,2014.00
Government,Germany, Velo , High ,2665.00,120.00,7.00,18655.00,1865.50,16789.50,13325.00,3464.50,41650.00,11.00, November ,2014.00
Enterprise,Canada, Velo , High ,1916.00,120.00,125.00," $2,39,500.00 ",23950.00," $2,15,550.00 "," $2,29,920.00 ",-14370.00,41286.00,12.00, December ,2013.00
Small Business,France, Velo , High ,853.00,120.00,300.00," $2,55,900.00 ",25590.00," $2,30,310.00 "," $2,13,250.00 ",17060.00,41651.00,12.00, December ,2014.00
Enterprise,Mexico, VTT , High ,341.00,250.00,125.00,42625.00,4262.50,38362.50,40920.00,-2557.50,41644.00,5.00, May ,2014.00
Midmarket,Mexico, VTT , High ,641.00,250.00,15.00,9615.00,961.50,8653.50,6410.00,2243.50,41646.00,7.00, July ,2014.00
Government,United States of America, VTT , High ,2807.00,250.00,350.00," $9,82,450.00 ",98245.00," $8,84,205.00 "," $7,29,820.00 "," $1,54,385.00 ",41647.00,8.00, August ,2014.00
Small Business,Mexico, VTT , High ,432.00,250.00,300.00," $1,29,600.00 ",12960.00," $1,16,640.00 "," $1,08,000.00 ",8640.00,41648.00,9.00, September ,2014.00
Small Business,United States of America, VTT , High ,2294.00,250.00,300.00," $6,88,200.00 ",68820.00," $6,19,380.00 "," $5,73,500.00 ",45880.00,41284.00,10.00, October ,2013.00
Midmarket,France, VTT , High ,2167.00,250.00,15.00,32505.00,3250.50,29254.50,21670.00,7584.50,41284.00,10.00, October ,2013.00
Enterprise,Canada, VTT , High ,2529.00,250.00,125.00," $3,16,125.00 ",31612.50," $2,84,512.50 "," $3,03,480.00 ",-18967.50,41650.00,11.00, November ,2014.00
Government,Germany, VTT , High ,1870.00,250.00,350.00," $6,54,500.00 ",65450.00," $5,89,050.00 "," $4,86,200.00 "," $1,02,850.00 ",41286.00,12.00, December ,2013.00
Enterprise,United States of America, Amarilla , High ,579.00,260.00,125.00,72375.00,7237.50,65137.50,69480.00,-4342.50,41640.00,1.00, January ,2014.00
Government,Canada, Amarilla , High ,2240.00,260.00,350.00," $7,84,000.00 ",78400.00," $7,05,600.00 "," $5,82,400.00 "," $1,23,200.00 ",41641.00,2.00, February ,2014.00
Small Business,United States of America, Amarilla , High ,2993.00,260.00,300.00," $8,97,900.00 ",89790.00," $8,08,110.00 "," $7,48,250.00 ",59860.00,41642.00,3.00, March ,2014.00
Channel Partners,Canada, Amarilla , High ,3520.50,260.00,12.00,42246.00,4224.60,38021.40,10561.50,27459.90,41643.00,4.00, April ,2014.00
Government,Mexico, Amarilla , High ,2039.00,260.00,20.00,40780.00,4078.00,36702.00,20390.00,16312.00,41644.00,5.00, May ,2014.00
Channel Partners,Germany, Amarilla , High ,2574.00,260.00,12.00,30888.00,3088.80,27799.20,7722.00,20077.20,41647.00,8.00, August ,2014.00
Government,Canada, Amarilla , High ,707.00,260.00,350.00," $2,47,450.00 ",24745.00," $2,22,705.00 "," $1,83,820.00 ",38885.00,41648.00,9.00, September ,2014.00
Midmarket,France, Amarilla , High ,2072.00,260.00,15.00,31080.00,3108.00,27972.00,20720.00,7252.00,41651.00,12.00, December ,2014.00
Small Business,France, Amarilla , High ,853.00,260.00,300.00," $2,55,900.00 ",25590.00," $2,30,310.00 "," $2,13,250.00 ",17060.00,41651.00,12.00, December ,2014.00
Channel Partners,France, Carretera , High ,1198.00,3.00,12.00,14376.00,1581.36,12794.64,3594.00,9200.64,41284.00,10.00, October ,2013.00
Government,France, Paseo , High ,2532.00,10.00,7.00,17724.00,1949.64,15774.36,12660.00,3114.36,41643.00,4.00, April ,2014.00
Channel Partners,France, Paseo , High ,1198.00,10.00,12.00,14376.00,1581.36,12794.64,3594.00,9200.64,41284.00,10.00, October ,2013.00
Midmarket,Canada, Velo , High ,384.00,120.00,15.00,5760.00,633.60,5126.40,3840.00,1286.40,41640.00,1.00, January ,2014.00
Channel Partners,Germany, Velo , High ,472.00,120.00,12.00,5664.00,623.04,5040.96,1416.00,3624.96,41649.00,10.00, October ,2014.00
Government,United States of America, VTT , High ,1579.00,250.00,7.00,11053.00,1215.83,9837.17,7895.00,1942.17,41642.00,3.00, March ,2014.00
Channel Partners,Mexico, VTT , High ,1005.00,250.00,12.00,12060.00,1326.60,10733.40,3015.00,7718.40,41283.00,9.00, September ,2013.00
Midmarket,United States of America, Amarilla , High ,3199.50,260.00,15.00,47992.50,5279.18,42713.33,31995.00,10718.33,41646.00,7.00, July ,2014.00
Channel Partners,Germany, Amarilla , High ,472.00,260.00,12.00,5664.00,623.04,5040.96,1416.00,3624.96,41649.00,10.00, October ,2014.00
Channel Partners,Canada, Carretera , High ,1937.00,3.00,12.00,23244.00,2556.84,20687.16,5811.00,14876.16,41641.00,2.00, February ,2014.00
Government,Germany, Carretera , High ,792.00,3.00,350.00," $2,77,200.00 ",30492.00," $2,46,708.00 "," $2,05,920.00 ",40788.00,41642.00,3.00, March ,2014.00
Small Business,Germany, Carretera , High ,2811.00,3.00,300.00," $8,43,300.00 ",92763.00," $7,50,537.00 "," $7,02,750.00 ",47787.00,41646.00,7.00, July ,2014.00
Enterprise,France, Carretera , High ,2441.00,3.00,125.00," $3,05,125.00 ",33563.75," $2,71,561.25 "," $2,92,920.00 ",-21358.75,41649.00,10.00, October ,2014.00
Midmarket,Canada, Carretera , High ,1560.00,3.00,15.00,23400.00,2574.00,20826.00,15600.00,5226.00,41285.00,11.00, November ,2013.00
Government,Mexico, Carretera , High ,2706.00,3.00,7.00,18942.00,2083.62,16858.38,13530.00,3328.38,41285.00,11.00, November ,2013.00
Government,Germany, Montana , High ,766.00,5.00,350.00," $2,68,100.00 ",29491.00," $2,38,609.00 "," $1,99,160.00 ",39449.00,41640.00,1.00, January ,2014.00
Government,Germany, Montana , High ,2992.00,5.00,20.00,59840.00,6582.40,53257.60,29920.00,23337.60,41284.00,10.00, October ,2013.00
Midmarket,Mexico, Montana , High ,2157.00,5.00,15.00,32355.00,3559.05,28795.95,21570.00,7225.95,41651.00,12.00, December ,2014.00
Small Business,Canada, Paseo , High ,873.00,10.00,300.00," $2,61,900.00 ",28809.00," $2,33,091.00 "," $2,18,250.00 ",14841.00,41640.00,1.00, January ,2014.00
Government,Mexico, Paseo , High ,1122.00,10.00,20.00,22440.00,2468.40,19971.60,11220.00,8751.60,41642.00,3.00, March ,2014.00
Government,Canada, Paseo , High ,2104.50,10.00,350.00," $7,36,575.00 ",81023.25," $6,55,551.75 "," $5,47,170.00 "," $1,08,381.75 ",41646.00,7.00, July ,2014.00
Channel Partners,Canada, Paseo , High ,4026.00,10.00,12.00,48312.00,5314.32,42997.68,12078.00,30919.68,41646.00,7.00, July ,2014.00
Channel Partners,France, Paseo , High ,2425.50,10.00,12.00,29106.00,3201.66,25904.34,7276.50,18627.84,41646.00,7.00, July ,2014.00
Government,Canada, Paseo , High ,2394.00,10.00,20.00,47880.00,5266.80,42613.20,23940.00,18673.20,41647.00,8.00, August ,2014.00
Midmarket,Mexico, Paseo , High ,1984.00,10.00,15.00,29760.00,3273.60,26486.40,19840.00,6646.40,41647.00,8.00, August ,2014.00
Enterprise,France, Paseo , High ,2441.00,10.00,125.00," $3,05,125.00 ",33563.75," $2,71,561.25 "," $2,92,920.00 ",-21358.75,41649.00,10.00, October ,2014.00
Government,Germany, Paseo , High ,2992.00,10.00,20.00,59840.00,6582.40,53257.60,29920.00,23337.60,41284.00,10.00, October ,2013.00
Small Business,Canada, Paseo , High ,1366.00,10.00,300.00," $4,09,800.00 ",45078.00," $3,64,722.00 "," $3,41,500.00 ",23222.00,41650.00,11.00, November ,2014.00
